羽田空港国際線ターミナル??,05:25着,
,05:26発,
天空橋??,05:27着,
,05:27発,
穴守稲荷??,05:29着,
,05:29発,
大鳥居??,05:30着,
,05:30発,
糀谷??,05:32着,
,05:32発,
京急蒲田??,05:34着,
,05:35発,
,,
,,
京急蒲田??,05:35着,
,05:36発,
雑色??,05:37着,
,05:38発,
六郷土手??,05:39着,
,05:39発,
京急川崎??,05:41着,
,05:41発,
八丁畷??,05:43着,
,05:43発,
鶴見市場??,05:44着,
,05:44発,
京急鶴見??,05:46着,
,05:46発,
花月園前??,05:47着,
,05:47発,
生麦??,05:49着,
,05:49発,
京急新子安??,05:51着,
,05:51発,
子安??,05:52着,
,05:53発,
神奈川新町??,05:54着,
,05:54発,
仲木戸??,05:55着,
,05:56発,
神奈川??,05:57着,
,05:57発,
横浜?(4050),05:58着,
,05:59発,
,,
,,
横浜?(4050),,
,06:21発,
平沼橋??,レ,
,レ,
西横浜??,レ,
,レ,
天王町??,レ,
,レ,
星川??,レ,
,レ,
和田町??,レ,
,レ,
上星川??,レ,
,レ,
西谷??,レ,
,レ,
鶴ヶ峰??,レ,
,レ,
二俣川??,06:32着,
,06:33発,
,,
,,
二俣川??,06:30着,
,06:34発,
南万騎が原??,06:36着,
,06:36発,
緑園都市??,06:38着,
,06:38発,
弥生台??,06:40着,
,06:40発,
いずみ野??,06:42着,
,06:42発,
いずみ中央??,06:45着,
,06:45発,
ゆめが丘??,06:47着,
,06:47発,
湘南台??,06:50着,
,,
,,
,,
湘南台??,,
,15:05発,
ゆめが丘??,15:07着,
,15:07発,
いずみ中央??,15:09着,
,15:09発,
いずみ野??,15:12着,
,15:12発,
弥生台??,15:14着,
,15:14発,
緑園都市??,15:16着,
,15:16発,
南万騎が原??,15:18着,
,15:18発,
二俣川??,15:21着,
,15:21発,
鶴ヶ峰??,15:24着,
,15:24発,
西谷??,レ,
,レ,
上星川??,レ,
,レ,
和田町??,レ,
,レ,
星川??,15:30着,
,15:30発,
天王町??,レ,
,レ,
西横浜??,レ,
,レ,
平沼橋??,レ,
,レ,
横浜?(4050),15:35着,
,,
,,
,,
横浜?(4050),16:31着,7
,16:32発,
川崎?(4020),16:40着,
,16:40発,
,,
,,
川崎?(4020),22:00着,
,22:01発,
品川?(4010),22:10着,
,22:11発,
新橋?(4002),22:15着,
,22:16発,
東京?(4000),22:19着,7
,22:20発,
,,
,,
名古屋?(5100),08:21着,
,08:21発,
伏見??,08:24着,
,08:24発,
栄??,08:26着,
,08:26発,
,,
,,
栄??,10:15着,
,10:15発,
伏見??,10:17着,
,10:17発,
名古屋?(5100),10:20着,
,10:20発,
,,
,,
名古屋?(5100),,12
,11:05発,
笹島信号場??,レ,
,レ,
八田??,レ,
,レ,
春田??,レ,
,レ,
蟹江??,レ,
,レ,
永和??,レ,
,レ,
弥富??,レ,
,レ,
長島??,レ,
,レ,
桑名?(5516),11:29着,
,11:29発,
朝日??,レ,
,レ,
富田?(5518),レ,
,レ,
富田浜??,レ,
,レ,
四日市?(5520),11:41着,
,11:42発,
南四日市??,11:45着,
,11:46発,
河原田??,11:49着,
,11:50発,
,,
,,
名古屋?(5100),,
,18:12発,
ささしまライブ??,18:13着,
,18:14発,
小本??,18:16着,
,18:17発,
荒子??,18:18着,
,18:19発,
南荒子??,18:20着,
,18:20発,
中島??,18:22着,
,18:22発,
名古屋競馬場前??,18:24着,
,18:24発,
荒子川公園??,18:26着,
,18:26発,
,,
,,
荒子川公園??,21:24着,
,21:24発,
名古屋競馬場前??,21:26着,
,21:26発,
中島??,21:28着,
,21:28発,
南荒子??,21:29着,
,21:30発,
荒子??,21:31着,
,21:32発,
小本??,21:33着,
,21:34発,
ささしまライブ??,21:36着,
,21:36発,
名古屋?(5100),21:38着,
,,
,,
,,
名古屋?(5100),11:31着,14
,11:33発,
三河安城?(5083),レ,
,レ,
豊橋?(5070),レ,
,レ,
浜松?(5060),レ,
,レ,
掛川?(5056),レ,
,レ,
静岡?(5050),レ,
,レ,
新富士?(5025),レ,
,レ,
三島?(5005),レ,
,レ,
熱海?(4070),レ,
,レ,
小田原?(4060),レ,
,レ,
新横浜?(4045),12:54着,
,12:55発,
品川?(4010),13:06着,
,13:07発,
,,
,,
品川?(4010),,10
,13:17発,
新橋?(4002),13:22着,
,13:23発,
東京?(4000),13:25着,7
,13:26発,
上野?(4300),13:31着,6
,13:32発,
,,
,,
上野?(4300),13:35着,
,13:35発,
稲荷町??,13:37着,
,13:37発,
田原町??,13:38着,
,13:39発,
浅草??,13:40着,
,,
,,
,,
浅草??,,
,14:59発,
田原町??,15:01着,
,15:01発,
稲荷町??,15:02着,
,15:03発,
上野?(4300),15:04着,
,15:05発,
上野広小路??,15:06着,
,15:07発,
末広町??,15:08着,
,15:08発,
,,
,,
秋葉原?(4590),15:52着,
,15:52発,
神田??,15:54着,
,15:54発,
東京?(4000),15:56着,
,15:56発,
有楽町??,15:58着,
,15:58発,
新橋?(4002),16:00着,
,16:00発,
,,
,,
新橋?(4002),16:10着,
,16:10発,
品川?(4010),16:15着,
,16:15発,
川崎?(4020),16:24着,
,16:25発,
,,
,,
川崎?(4020),10:15着,
,10:15発,
蒲田??,10:20着,
,10:20発,
,,
,,
,,
蒲田??,10:25着,
,10:25発,
大森??,10:29着,
,10:29発,
大井町??,10:31着,
,10:31発,
品川?(4010),10:35着,
,10:35発,
田町??,10:38着,
,10:38発,
浜松町??,10:40着,
,10:40発,
新橋?(4002),レ,
,レ,
有楽町??,レ,
,レ,
東京?(4000),10:45着,
,10:45発,
神田??,10:47着,
,10:47発,
秋葉原?(4590),10:49着,
,10:49発,
,,
,,
秋葉原?(4590),14:16着,
,14:16発,
御茶ノ水??,14:18着,
,14:18発,
水道橋??,14:20着,
,14:20発,
飯田橋??,14:22着,
,14:22発,
市ヶ谷??,14:24着,
,14:24発,
四ツ谷?(4114),14:26着,
,14:26発,
信濃町??,14:28着,
,14:28発,
千駄ヶ谷??,14:29着,
,14:29発,
代々木??,14:31着,
,14:31発,
,,
,,
代々木??,14:36着,
,14:36発,
原宿??,14:39着,
,14:39発,
渋谷?(4088),14:41着,
,14:41発,
,,
,,
渋谷?(4088),14:56着,
,14:56発,
原宿??,14:58着,
,14:58発,
代々木??,15:00着,
,15:00発,
,,
,,
代々木??,14:59着,
,14:59発,
新宿?(4115),15:01着,16
,15:01発,
,,
,,
新宿?(4115),15:13着,13
,15:13発,
代々木??,15:15着,
,15:15発,
,,
,,
代々木??,15:18着,
,15:18発,
原宿??,15:21着,
,15:21発,
渋谷?(4088),15:23着,
,15:23発,
,,
,,
渋谷?(4088),18:38着,
,18:38発,
恵比寿??,18:40着,
,18:40発,
目黒??,18:43着,
,18:43発,
五反田??,18:45着,
,18:45発,
大崎??,18:46着,
,18:47発,
品川?(4010),18:50着,
,18:50発,
,,
,,
