成田空港?(4767),,
,14:58発,
空港第２ビル?(4766),15:02着,
,15:02発,
成田湯川??,レ,
,レ,
印旛日本医大??,レ,
,レ,
印西牧の原??,レ,
,レ,
千葉ニュータウン中央??,レ,
,レ,
小室??,レ,
,レ,
白井??,レ,
,レ,
西白井??,レ,
,レ,
新鎌ヶ谷??,レ,
,レ,
大町??,レ,
,レ,
松飛台??,レ,
,レ,
東松戸??,レ,
,レ,
秋山??,レ,
,レ,
北国分??,レ,
,レ,
矢切??,レ,
,レ,
新柴又??,レ,
,レ,
京成高砂??,レ,
,レ,
青砥??,レ,
,レ,
お花茶屋??,レ,
,レ,
堀切菖蒲園??,レ,
,レ,
京成関屋??,レ,
,レ,
千住大橋??,レ,
,レ,
町屋??,レ,
,レ,
新三河島??,レ,
,レ,
日暮里?(4302),15:38着,
,15:39発,
,,
,,
日暮里?(4302),15:47着,
,15:47発,
鶯谷??,15:48着,
,15:48発,
上野?(4300),15:51着,
,15:51発,
御徒町??,15:52着,
,15:52発,
秋葉原?(4590),15:54着,
,15:54発,
神田??,15:56着,
,15:56発,
東京?(4000),15:58着,
,15:58発,
,,
,,
東京?(4000),,京３
,16:09発,
八丁堀??,16:11着,
,16:11発,
越中島??,16:13着,
,16:13発,
潮見??,16:16着,
,16:16発,
新木場?(4803),16:19着,
,16:19発,
,,
,,
新木場?(4803),,
,16:23発,
東雲??,16:25着,
,16:26発,
国際展示場??,16:27着,
,16:28発,
,,
,,
国際展示場??,09:16着,
,09:17発,
東京テレポート??,09:18着,
,09:19発,
天王洲アイル??,09:22着,
,09:23発,
品川シーサイド??,09:24着,
,09:24発,
大井町??,09:27着,
,09:27発,
大崎??,09:30着,
,09:34発,
恵比寿??,09:38着,
,09:38発,
渋谷?(4088),09:41着,
,09:41発,
新宿?(4115),09:46着,
,09:46発,
池袋?(4085),09:51着,4
,09:51発,
,,
,,
池袋?(4085),,
,10:34発,
北池袋??,10:35着,
,10:36発,
下板橋??,10:37着,
,10:37発,
大山??,10:39着,
,10:39発,
,,
,,
要町??,11:22着,
,11:22発,
池袋?(4085),11:24着,
,11:25発,
東池袋??,11:27着,
,11:27発,
護国寺??,11:29着,
,11:29発,
江戸川橋??,11:31着,
,11:32発,
飯田橋??,11:34着,
,11:35発,
市ヶ谷??,11:36着,
,11:37発,
麹町??,11:38着,
,11:39発,
永田町??,11:40着,
,11:41発,
桜田門??,11:42着,
,11:43発,
有楽町??,11:44着,
,11:44発,
銀座一丁目??,11:46着,
,11:46発,
新富町??,11:47着,
,11:48発,
月島??,11:49着,
,11:50発,
豊洲??,11:52着,
,11:52発,
,,
,,
新豊洲??,12:21着,
,12:21発,
市場前??,12:23着,
,12:23発,
有明テニスの森??,12:25着,
